scene0000_00: Seed: 42, Selected_ID: 16, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_68
scene0000_01: Seed: 42, Selected_ID: 51, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_30
scene0000_02: Seed: 42, Selected_ID: 40, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_60
scene0001_00: Seed: 42, Selected_ID: 10, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_68
scene0001_01: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_33
scene0002_00: Seed: 42, Selected_ID: 22, accepted after 685 times, dx, dy=(-0.7626480324235315, -0.6561991940794315), eric_0_16
scene0002_01: Seed: 42, Selected_ID: 54, accepted after 61 times, dx, dy=(0.8983863117531284, 1.4573317285365477), eric_20_45
scene0003_00: Seed: 42, Selected_ID: 6, accepted after 3 times, dx, dy=(-2.036721786006733, -1.194657344900855), eric_10_41
scene0003_01: Seed: 42, Selected_ID: 17, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_2
scene0003_02: Seed: 42, Selected_ID: 13, accepted after 3 times, dx, dy=(-0.14760629258979413, -2.2602455687314937), eric_-10_15
scene0004_00: Seed: 42, Selected_ID: 14, accepted after 5 times, dx, dy=(0.2845594691134069, 1.9843678916841496), eric_30_16
scene0005_00: Seed: 42, Selected_ID: 2, accepted after 3 times, dx, dy=(-1.0934425151181735, -1.80399513204306), eric_25_26
scene0005_01: Seed: 42, Selected_ID: 18, accepted after 3 times, dx, dy=(-0.9282464648174059, -1.9949423911739508), eric_0_59
scene0006_00: Seed: 42, Selected_ID: 13, accepted after 1 times, dx, dy=(-0.07351380946050401, 2.983559550834227), eric_5_71
scene0006_01: Seed: 42, Selected_ID: 3, accepted after 9 times, dx, dy=(-0.39700433281503145, 0.5948577992581793), eric_15_9
scene0006_02: Seed: 42, Selected_ID: 4, accepted after 1 times, dx, dy=(-0.07041309781212701, 3.4513833834933467), eric_15_50
scene0007_00: Seed: 42, Selected_ID: 22, accepted after 1 times, dx, dy=(-0.2119997460826452, 2.409387451267437), eric_5_62
